id,document_family,record_id,template_variant,tamper_type,final_label,cnn_label,image_path,label_path
family_a_000061_fine_grained_edit,family_a,0e2e14708d5d3184,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000061_fine_grained_edit.png,labels/family_a_000061_fine_grained_edit.json
family_a_000062_coordinated_full_forgery,family_a,0e2e14708d5d3184,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000062_coordinated_full_forgery.png,labels/family_a_000062_coordinated_full_forgery.json
family_a_000063_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,images/family_a/family_a_000063_visual_splice.png,labels/family_a_000063_visual_splice.json
family_a_000064_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,images/family_a/family_a_000064_visual_splice.png,labels/family_a_000064_visual_splice.json
family_a_000065_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,images/family_a/family_a_000065_visual_splice.png,labels/family_a_000065_visual_splice.json
family_a_000066_genuine,family_a,47687617a01f11ae,v2,genuine,genuine,genuine,images/family_a/family_a_000066_genuine.png,labels/family_a_000066_genuine.json
family_a_000067_text_qr_mismatch,family_a,47687617a01f11ae,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000067_text_qr_mismatch.png,labels/family_a_000067_text_qr_mismatch.json
family_a_000068_qr_only_mismatch,family_a,47687617a01f11ae,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000068_qr_only_mismatch.png,labels/family_a_000068_qr_only_mismatch.json
family_a_000069_checksum_invalid,family_a,47687617a01f11ae,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000069_checksum_invalid.png,labels/family_a_000069_checksum_invalid.json
family_a_000070_format_invalid,family_a,47687617a01f11ae,v2,format_invalid,forged,genuine,images/family_a/family_a_000070_format_invalid.png,labels/family_a_000070_format_invalid.json
family_a_000071_field_missing,family_a,47687617a01f11ae,v2,field_missing,forged,genuine,images/family_a/family_a_000071_field_missing.png,labels/family_a_000071_field_missing.json
family_a_000072_fine_grained_edit,family_a,47687617a01f11ae,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000072_fine_grained_edit.png,labels/family_a_000072_fine_grained_edit.json
family_a_000073_coordinated_full_forgery,family_a,47687617a01f11ae,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000073_coordinated_full_forgery.png,labels/family_a_000073_coordinated_full_forgery.json
family_a_000074_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,images/family_a/family_a_000074_visual_splice.png,labels/family_a_000074_visual_splice.json
family_a_000075_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,images/family_a/family_a_000075_visual_splice.png,labels/family_a_000075_visual_splice.json
family_a_000076_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,images/family_a/family_a_000076_visual_splice.png,labels/family_a_000076_visual_splice.json
family_a_000099_genuine,family_a,d265c69c7fa74149,v1,genuine,genuine,genuine,images/family_a/family_a_000099_genuine.png,labels/family_a_000099_genuine.json
family_a_000100_text_qr_mismatch,family_a,d265c69c7fa74149,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000100_text_qr_mismatch.png,labels/family_a_000100_text_qr_mismatch.json
family_a_000101_qr_only_mismatch,family_a,d265c69c7fa74149,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000101_qr_only_mismatch.png,labels/family_a_000101_qr_only_mismatch.json
family_a_000102_checksum_invalid,family_a,d265c69c7fa74149,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000102_checksum_invalid.png,labels/family_a_000102_checksum_invalid.json
family_a_000103_format_invalid,family_a,d265c69c7fa74149,v1,format_invalid,forged,genuine,images/family_a/family_a_000103_format_invalid.png,labels/family_a_000103_format_invalid.json
family_a_000104_field_missing,family_a,d265c69c7fa74149,v1,field_missing,forged,genuine,images/family_a/family_a_000104_field_missing.png,labels/family_a_000104_field_missing.json
family_a_000105_fine_grained_edit,family_a,d265c69c7fa74149,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000105_fine_grained_edit.png,labels/family_a_000105_fine_grained_edit.json
family_a_000106_coordinated_full_forgery,family_a,d265c69c7fa74149,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000106_coordinated_full_forgery.png,labels/family_a_000106_coordinated_full_forgery.json
family_a_000107_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,images/family_a/family_a_000107_visual_splice.png,labels/family_a_000107_visual_splice.json
family_a_000108_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,images/family_a/family_a_000108_visual_splice.png,labels/family_a_000108_visual_splice.json
family_a_000109_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,images/family_a/family_a_000109_visual_splice.png,labels/family_a_000109_visual_splice.json
family_a_000132_genuine,family_a,8b8430a811fe64e8,v1,genuine,genuine,genuine,images/family_a/family_a_000132_genuine.png,labels/family_a_000132_genuine.json
family_a_000133_text_qr_mismatch,family_a,8b8430a811fe64e8,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000133_text_qr_mismatch.png,labels/family_a_000133_text_qr_mismatch.json
family_a_000134_qr_only_mismatch,family_a,8b8430a811fe64e8,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000134_qr_only_mismatch.png,labels/family_a_000134_qr_only_mismatch.json
family_a_000135_checksum_invalid,family_a,8b8430a811fe64e8,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000135_checksum_invalid.png,labels/family_a_000135_checksum_invalid.json
family_a_000136_format_invalid,family_a,8b8430a811fe64e8,v1,format_invalid,forged,genuine,images/family_a/family_a_000136_format_invalid.png,labels/family_a_000136_format_invalid.json
family_a_000137_field_missing,family_a,8b8430a811fe64e8,v1,field_missing,forged,genuine,images/family_a/family_a_000137_field_missing.png,labels/family_a_000137_field_missing.json
family_a_000138_fine_grained_edit,family_a,8b8430a811fe64e8,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000138_fine_grained_edit.png,labels/family_a_000138_fine_grained_edit.json
family_a_000139_coordinated_full_forgery,family_a,8b8430a811fe64e8,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000139_coordinated_full_forgery.png,labels/family_a_000139_coordinated_full_forgery.json
family_a_000140_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,images/family_a/family_a_000140_visual_splice.png,labels/family_a_000140_visual_splice.json
family_a_000141_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,images/family_a/family_a_000141_visual_splice.png,labels/family_a_000141_visual_splice.json
family_a_000142_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,images/family_a/family_a_000142_visual_splice.png,labels/family_a_000142_visual_splice.json
family_a_000143_genuine,family_a,8752d9fbfcd88477,v1,genuine,genuine,genuine,images/family_a/family_a_000143_genuine.png,labels/family_a_000143_genuine.json
family_a_000144_text_qr_mismatch,family_a,8752d9fbfcd88477,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000144_text_qr_mismatch.png,labels/family_a_000144_text_qr_mismatch.json
family_a_000145_qr_only_mismatch,family_a,8752d9fbfcd88477,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000145_qr_only_mismatch.png,labels/family_a_000145_qr_only_mismatch.json
family_a_000146_checksum_invalid,family_a,8752d9fbfcd88477,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000146_checksum_invalid.png,labels/family_a_000146_checksum_invalid.json
family_a_000147_format_invalid,family_a,8752d9fbfcd88477,v1,format_invalid,forged,genuine,images/family_a/family_a_000147_format_invalid.png,labels/family_a_000147_format_invalid.json
family_a_000148_field_missing,family_a,8752d9fbfcd88477,v1,field_missing,forged,genuine,images/family_a/family_a_000148_field_missing.png,labels/family_a_000148_field_missing.json
family_a_000149_fine_grained_edit,family_a,8752d9fbfcd88477,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000149_fine_grained_edit.png,labels/family_a_000149_fine_grained_edit.json
family_a_000150_coordinated_full_forgery,family_a,8752d9fbfcd88477,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000150_coordinated_full_forgery.png,labels/family_a_000150_coordinated_full_forgery.json
family_a_000151_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,images/family_a/family_a_000151_visual_splice.png,labels/family_a_000151_visual_splice.json
family_a_000152_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,images/family_a/family_a_000152_visual_splice.png,labels/family_a_000152_visual_splice.json
family_a_000153_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,images/family_a/family_a_000153_visual_splice.png,labels/family_a_000153_visual_splice.json
family_a_000154_genuine,family_a,b14780eb0cb0e227,v2,genuine,genuine,genuine,images/family_a/family_a_000154_genuine.png,labels/family_a_000154_genuine.json
family_a_000155_text_qr_mismatch,family_a,b14780eb0cb0e227,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000155_text_qr_mismatch.png,labels/family_a_000155_text_qr_mismatch.json
family_a_000156_qr_only_mismatch,family_a,b14780eb0cb0e227,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000156_qr_only_mismatch.png,labels/family_a_000156_qr_only_mismatch.json
family_a_000157_checksum_invalid,family_a,b14780eb0cb0e227,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000157_checksum_invalid.png,labels/family_a_000157_checksum_invalid.json
family_a_000158_format_invalid,family_a,b14780eb0cb0e227,v2,format_invalid,forged,genuine,images/family_a/family_a_000158_format_invalid.png,labels/family_a_000158_format_invalid.json
family_a_000159_field_missing,family_a,b14780eb0cb0e227,v2,field_missing,forged,genuine,images/family_a/family_a_000159_field_missing.png,labels/family_a_000159_field_missing.json
family_a_000160_fine_grained_edit,family_a,b14780eb0cb0e227,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000160_fine_grained_edit.png,labels/family_a_000160_fine_grained_edit.json
family_a_000161_coordinated_full_forgery,family_a,b14780eb0cb0e227,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000161_coordinated_full_forgery.png,labels/family_a_000161_coordinated_full_forgery.json
family_a_000162_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,images/family_a/family_a_000162_visual_splice.png,labels/family_a_000162_visual_splice.json
family_a_000163_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,images/family_a/family_a_000163_visual_splice.png,labels/family_a_000163_visual_splice.json
family_a_000164_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,images/family_a/family_a_000164_visual_splice.png,labels/family_a_000164_visual_splice.json
family_a_000165_genuine,family_a,a3f09aa40617dc39,v2,genuine,genuine,genuine,images/family_a/family_a_000165_genuine.png,labels/family_a_000165_genuine.json
family_a_000166_text_qr_mismatch,family_a,a3f09aa40617dc39,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000166_text_qr_mismatch.png,labels/family_a_000166_text_qr_mismatch.json
family_a_000167_qr_only_mismatch,family_a,a3f09aa40617dc39,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000167_qr_only_mismatch.png,labels/family_a_000167_qr_only_mismatch.json
family_a_000168_checksum_invalid,family_a,a3f09aa40617dc39,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000168_checksum_invalid.png,labels/family_a_000168_checksum_invalid.json
family_a_000169_format_invalid,family_a,a3f09aa40617dc39,v2,format_invalid,forged,genuine,images/family_a/family_a_000169_format_invalid.png,labels/family_a_000169_format_invalid.json
family_a_000170_field_missing,family_a,a3f09aa40617dc39,v2,field_missing,forged,genuine,images/family_a/family_a_000170_field_missing.png,labels/family_a_000170_field_missing.json
family_a_000171_fine_grained_edit,family_a,a3f09aa40617dc39,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000171_fine_grained_edit.png,labels/family_a_000171_fine_grained_edit.json
family_a_000172_coordinated_full_forgery,family_a,a3f09aa40617dc39,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000172_coordinated_full_forgery.png,labels/family_a_000172_coordinated_full_forgery.json
family_a_000173_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,images/family_a/family_a_000173_visual_splice.png,labels/family_a_000173_visual_splice.json
family_a_000174_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,images/family_a/family_a_000174_visual_splice.png,labels/family_a_000174_visual_splice.json
family_a_000175_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,images/family_a/family_a_000175_visual_splice.png,labels/family_a_000175_visual_splice.json
family_a_000176_genuine,family_a,b50d80c3307ea365,v1,genuine,genuine,genuine,images/family_a/family_a_000176_genuine.png,labels/family_a_000176_genuine.json
family_a_000177_text_qr_mismatch,family_a,b50d80c3307ea365,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000177_text_qr_mismatch.png,labels/family_a_000177_text_qr_mismatch.json
family_a_000178_qr_only_mismatch,family_a,b50d80c3307ea365,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000178_qr_only_mismatch.png,labels/family_a_000178_qr_only_mismatch.json
family_a_000179_checksum_invalid,family_a,b50d80c3307ea365,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000179_checksum_invalid.png,labels/family_a_000179_checksum_invalid.json
family_a_000180_format_invalid,family_a,b50d80c3307ea365,v1,format_invalid,forged,genuine,images/family_a/family_a_000180_format_invalid.png,labels/family_a_000180_format_invalid.json
family_a_000181_field_missing,family_a,b50d80c3307ea365,v1,field_missing,forged,genuine,images/family_a/family_a_000181_field_missing.png,labels/family_a_000181_field_missing.json
family_a_000182_fine_grained_edit,family_a,b50d80c3307ea365,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000182_fine_grained_edit.png,labels/family_a_000182_fine_grained_edit.json
family_a_000183_coordinated_full_forgery,family_a,b50d80c3307ea365,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000183_coordinated_full_forgery.png,labels/family_a_000183_coordinated_full_forgery.json
family_a_000184_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,images/family_a/family_a_000184_visual_splice.png,labels/family_a_000184_visual_splice.json
family_a_000185_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,images/family_a/family_a_000185_visual_splice.png,labels/family_a_000185_visual_splice.json
family_a_000186_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,images/family_a/family_a_000186_visual_splice.png,labels/family_a_000186_visual_splice.json
family_a_000198_genuine,family_a,d48404bd5ded91ec,v1,genuine,genuine,genuine,images/family_a/family_a_000198_genuine.png,labels/family_a_000198_genuine.json
family_a_000199_text_qr_mismatch,family_a,d48404bd5ded91ec,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000199_text_qr_mismatch.png,labels/family_a_000199_text_qr_mismatch.json
family_a_000200_qr_only_mismatch,family_a,d48404bd5ded91ec,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000200_qr_only_mismatch.png,labels/family_a_000200_qr_only_mismatch.json
family_a_000201_checksum_invalid,family_a,d48404bd5ded91ec,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000201_checksum_invalid.png,labels/family_a_000201_checksum_invalid.json
family_a_000202_format_invalid,family_a,d48404bd5ded91ec,v1,format_invalid,forged,genuine,images/family_a/family_a_000202_format_invalid.png,labels/family_a_000202_format_invalid.json
family_a_000203_field_missing,family_a,d48404bd5ded91ec,v1,field_missing,forged,genuine,images/family_a/family_a_000203_field_missing.png,labels/family_a_000203_field_missing.json
family_a_000204_fine_grained_edit,family_a,d48404bd5ded91ec,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000204_fine_grained_edit.png,labels/family_a_000204_fine_grained_edit.json
family_a_000205_coordinated_full_forgery,family_a,d48404bd5ded91ec,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000205_coordinated_full_forgery.png,labels/family_a_000205_coordinated_full_forgery.json
family_a_000206_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,images/family_a/family_a_000206_visual_splice.png,labels/family_a_000206_visual_splice.json
family_a_000207_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,images/family_a/family_a_000207_visual_splice.png,labels/family_a_000207_visual_splice.json
family_a_000208_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,images/family_a/family_a_000208_visual_splice.png,labels/family_a_000208_visual_splice.json
family_a_000242_genuine,family_a,c6c2e84243c492ad,v1,genuine,genuine,genuine,images/family_a/family_a_000242_genuine.png,labels/family_a_000242_genuine.json
family_a_000243_text_qr_mismatch,family_a,c6c2e84243c492ad,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000243_text_qr_mismatch.png,labels/family_a_000243_text_qr_mismatch.json
family_a_000244_qr_only_mismatch,family_a,c6c2e84243c492ad,v1,qr_only_mismatch,forged,genuine,images/family_a/family_a_000244_qr_only_mismatch.png,labels/family_a_000244_qr_only_mismatch.json
family_a_000245_checksum_invalid,family_a,c6c2e84243c492ad,v1,checksum_invalid,forged,genuine,images/family_a/family_a_000245_checksum_invalid.png,labels/family_a_000245_checksum_invalid.json
family_a_000246_format_invalid,family_a,c6c2e84243c492ad,v1,format_invalid,forged,genuine,images/family_a/family_a_000246_format_invalid.png,labels/family_a_000246_format_invalid.json
family_a_000247_field_missing,family_a,c6c2e84243c492ad,v1,field_missing,forged,genuine,images/family_a/family_a_000247_field_missing.png,labels/family_a_000247_field_missing.json
family_a_000248_fine_grained_edit,family_a,c6c2e84243c492ad,v1,fine_grained_edit,forged,genuine,images/family_a/family_a_000248_fine_grained_edit.png,labels/family_a_000248_fine_grained_edit.json
family_a_000249_coordinated_full_forgery,family_a,c6c2e84243c492ad,v1,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000249_coordinated_full_forgery.png,labels/family_a_000249_coordinated_full_forgery.json
family_a_000250_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,images/family_a/family_a_000250_visual_splice.png,labels/family_a_000250_visual_splice.json
family_a_000251_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,images/family_a/family_a_000251_visual_splice.png,labels/family_a_000251_visual_splice.json
family_a_000252_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,images/family_a/family_a_000252_visual_splice.png,labels/family_a_000252_visual_splice.json
family_a_000253_genuine,family_a,fe1f43994c8d068b,v2,genuine,genuine,genuine,images/family_a/family_a_000253_genuine.png,labels/family_a_000253_genuine.json
family_a_000254_text_qr_mismatch,family_a,fe1f43994c8d068b,v2,text_qr_mismatch,forged,genuine,images/family_a/family_a_000254_text_qr_mismatch.png,labels/family_a_000254_text_qr_mismatch.json
family_a_000255_qr_only_mismatch,family_a,fe1f43994c8d068b,v2,qr_only_mismatch,forged,genuine,images/family_a/family_a_000255_qr_only_mismatch.png,labels/family_a_000255_qr_only_mismatch.json
family_a_000256_checksum_invalid,family_a,fe1f43994c8d068b,v2,checksum_invalid,forged,genuine,images/family_a/family_a_000256_checksum_invalid.png,labels/family_a_000256_checksum_invalid.json
family_a_000257_format_invalid,family_a,fe1f43994c8d068b,v2,format_invalid,forged,genuine,images/family_a/family_a_000257_format_invalid.png,labels/family_a_000257_format_invalid.json
family_a_000258_field_missing,family_a,fe1f43994c8d068b,v2,field_missing,forged,genuine,images/family_a/family_a_000258_field_missing.png,labels/family_a_000258_field_missing.json
family_a_000259_fine_grained_edit,family_a,fe1f43994c8d068b,v2,fine_grained_edit,forged,genuine,images/family_a/family_a_000259_fine_grained_edit.png,labels/family_a_000259_fine_grained_edit.json
family_a_000260_coordinated_full_forgery,family_a,fe1f43994c8d068b,v2,coordinated_full_forgery,forged,genuine,images/family_a/family_a_000260_coordinated_full_forgery.png,labels/family_a_000260_coordinated_full_forgery.json
family_a_000261_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,images/family_a/family_a_000261_visual_splice.png,labels/family_a_000261_visual_splice.json
family_a_000262_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,images/family_a/family_a_000262_visual_splice.png,labels/family_a_000262_visual_splice.json
family_a_000263_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,images/family_a/family_a_000263_visual_splice.png,labels/family_a_000263_visual_splice.json
family_a_000264_genuine,family_a,a624989dfadd4b88,v1,genuine,genuine,genuine,images/family_a/family_a_000264_genuine.png,labels/family_a_000264_genuine.json
family_a_000265_text_qr_mismatch,family_a,a624989dfadd4b88,v1,text_qr_mismatch,forged,genuine,images/family_a/family_a_000265_text_qr_mismatch.png,labels/family_a_000265_text_qr_mismatch.json
