id,document_family,record_id,template_variant,tamper_type,final_label,cnn_label,fold,cnn_probability_oof,m3_probability_oof
family_a_000039_fine_grained_edit,family_a,4efd1ea374ac7007,v2,fine_grained_edit,forged,genuine,0,0.003854,0.981938
family_a_000040_coordinated_full_forgery,family_a,4efd1ea374ac7007,v2,coordinated_full_forgery,forged,genuine,0,0.059807,0.242722
family_a_000041_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,0,0.998802,0.992376
family_a_000042_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,0,0.997911,0.242722
family_a_000043_visual_splice,family_a,4efd1ea374ac7007,v2,visual_splice,forged,forged,0,0.770729,0.961361
family_a_000044_genuine,family_a,a616da14d1c99779,v2,genuine,genuine,genuine,0,0.449367,0.242722
family_a_000045_text_qr_mismatch,family_a,a616da14d1c99779,v2,text_qr_mismatch,forged,genuine,0,0.617699,0.981938
family_a_000046_qr_only_mismatch,family_a,a616da14d1c99779,v2,qr_only_mismatch,forged,genuine,0,0.224495,0.961375
family_a_000047_checksum_invalid,family_a,a616da14d1c99779,v2,checksum_invalid,forged,genuine,0,0.573066,0.999344
family_a_000048_format_invalid,family_a,a616da14d1c99779,v2,format_invalid,forged,genuine,0,0.020147,0.992944
family_a_000049_field_missing,family_a,a616da14d1c99779,v2,field_missing,forged,genuine,0,0.0776,0.98427
family_a_000050_fine_grained_edit,family_a,a616da14d1c99779,v2,fine_grained_edit,forged,genuine,0,0.283717,0.945099
family_a_000051_coordinated_full_forgery,family_a,a616da14d1c99779,v2,coordinated_full_forgery,forged,genuine,0,0.002465,0.242722
family_a_000052_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,0,0.999941,0.992376
family_a_000053_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,0,0.999967,0.992376
family_a_000054_visual_splice,family_a,a616da14d1c99779,v2,visual_splice,forged,forged,0,0.999741,0.653685
family_a_000055_genuine,family_a,0e2e14708d5d3184,v2,genuine,genuine,genuine,3,0.023555,0.246238
family_a_000056_text_qr_mismatch,family_a,0e2e14708d5d3184,v2,text_qr_mismatch,forged,genuine,3,0.183569,0.939954
family_a_000057_qr_only_mismatch,family_a,0e2e14708d5d3184,v2,qr_only_mismatch,forged,genuine,3,0.047517,0.998057
family_a_000058_checksum_invalid,family_a,0e2e14708d5d3184,v2,checksum_invalid,forged,genuine,3,0.069287,0.98412
family_a_000059_format_invalid,family_a,0e2e14708d5d3184,v2,format_invalid,forged,genuine,3,0.012148,0.991894
family_a_000060_field_missing,family_a,0e2e14708d5d3184,v2,field_missing,forged,genuine,3,0.011163,0.983415
family_a_000061_fine_grained_edit,family_a,0e2e14708d5d3184,v2,fine_grained_edit,forged,genuine,3,0.014273,0.974873
family_a_000062_coordinated_full_forgery,family_a,0e2e14708d5d3184,v2,coordinated_full_forgery,forged,genuine,3,0.019709,0.393058
family_a_000063_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,3,0.248902,0.246238
family_a_000064_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,3,0.063944,0.309919
family_a_000065_visual_splice,family_a,0e2e14708d5d3184,v2,visual_splice,forged,forged,3,0.999845,0.246238
family_a_000066_genuine,family_a,47687617a01f11ae,v2,genuine,genuine,genuine,4,0.015622,0.246925
family_a_000067_text_qr_mismatch,family_a,47687617a01f11ae,v2,text_qr_mismatch,forged,genuine,4,0.025016,0.998257
family_a_000068_qr_only_mismatch,family_a,47687617a01f11ae,v2,qr_only_mismatch,forged,genuine,4,0.042286,0.962981
family_a_000069_checksum_invalid,family_a,47687617a01f11ae,v2,checksum_invalid,forged,genuine,4,0.054599,0.998483
family_a_000070_format_invalid,family_a,47687617a01f11ae,v2,format_invalid,forged,genuine,4,0.0014,0.999195
family_a_000071_field_missing,family_a,47687617a01f11ae,v2,field_missing,forged,genuine,4,0.002633,0.839414
family_a_000072_fine_grained_edit,family_a,47687617a01f11ae,v2,fine_grained_edit,forged,genuine,4,0.019445,0.979976
family_a_000073_coordinated_full_forgery,family_a,47687617a01f11ae,v2,coordinated_full_forgery,forged,genuine,4,0.978325,0.246925
family_a_000074_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,4,0.999855,0.246925
family_a_000075_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,4,0.999984,0.246925
family_a_000076_visual_splice,family_a,47687617a01f11ae,v2,visual_splice,forged,forged,4,0.999947,0.950717
family_a_000099_genuine,family_a,d265c69c7fa74149,v1,genuine,genuine,genuine,4,0.019147,0.246925
family_a_000100_text_qr_mismatch,family_a,d265c69c7fa74149,v1,text_qr_mismatch,forged,genuine,4,0.971731,0.998257
family_a_000101_qr_only_mismatch,family_a,d265c69c7fa74149,v1,qr_only_mismatch,forged,genuine,4,0.001752,0.950717
family_a_000102_checksum_invalid,family_a,d265c69c7fa74149,v1,checksum_invalid,forged,genuine,4,0.044522,0.998483
family_a_000103_format_invalid,family_a,d265c69c7fa74149,v1,format_invalid,forged,genuine,4,0.003825,0.999195
family_a_000104_field_missing,family_a,d265c69c7fa74149,v1,field_missing,forged,genuine,4,0.006432,0.989703
family_a_000105_fine_grained_edit,family_a,d265c69c7fa74149,v1,fine_grained_edit,forged,genuine,4,0.01085,0.962981
family_a_000106_coordinated_full_forgery,family_a,d265c69c7fa74149,v1,coordinated_full_forgery,forged,genuine,4,0.006975,0.246925
family_a_000107_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,4,0.999974,0.988564
family_a_000108_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,4,0.998131,0.998257
family_a_000109_visual_splice,family_a,d265c69c7fa74149,v1,visual_splice,forged,forged,4,0.999808,0.998257
family_a_000132_genuine,family_a,8b8430a811fe64e8,v1,genuine,genuine,genuine,4,0.025265,0.246925
family_a_000133_text_qr_mismatch,family_a,8b8430a811fe64e8,v1,text_qr_mismatch,forged,genuine,4,0.009069,0.962981
family_a_000134_qr_only_mismatch,family_a,8b8430a811fe64e8,v1,qr_only_mismatch,forged,genuine,4,0.029731,0.950717
family_a_000135_checksum_invalid,family_a,8b8430a811fe64e8,v1,checksum_invalid,forged,genuine,4,0.02159,0.998483
family_a_000136_format_invalid,family_a,8b8430a811fe64e8,v1,format_invalid,forged,genuine,4,0.003568,0.99634
family_a_000137_field_missing,family_a,8b8430a811fe64e8,v1,field_missing,forged,genuine,4,0.00373,0.992097
family_a_000138_fine_grained_edit,family_a,8b8430a811fe64e8,v1,fine_grained_edit,forged,genuine,4,0.145268,0.892385
family_a_000139_coordinated_full_forgery,family_a,8b8430a811fe64e8,v1,coordinated_full_forgery,forged,genuine,4,0.026637,0.246925
family_a_000140_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,4,0.999861,0.992809
family_a_000141_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,4,0.999497,0.246925
family_a_000142_visual_splice,family_a,8b8430a811fe64e8,v1,visual_splice,forged,forged,4,0.999918,0.846344
family_a_000143_genuine,family_a,8752d9fbfcd88477,v1,genuine,genuine,genuine,4,0.682591,0.246925
family_a_000144_text_qr_mismatch,family_a,8752d9fbfcd88477,v1,text_qr_mismatch,forged,genuine,4,0.834551,0.962981
family_a_000145_qr_only_mismatch,family_a,8752d9fbfcd88477,v1,qr_only_mismatch,forged,genuine,4,0.852894,0.983739
family_a_000146_checksum_invalid,family_a,8752d9fbfcd88477,v1,checksum_invalid,forged,genuine,4,0.705331,0.998483
family_a_000147_format_invalid,family_a,8752d9fbfcd88477,v1,format_invalid,forged,genuine,4,0.20792,0.999195
family_a_000148_field_missing,family_a,8752d9fbfcd88477,v1,field_missing,forged,genuine,4,0.005349,0.99107
family_a_000149_fine_grained_edit,family_a,8752d9fbfcd88477,v1,fine_grained_edit,forged,genuine,4,0.648304,0.892385
family_a_000150_coordinated_full_forgery,family_a,8752d9fbfcd88477,v1,coordinated_full_forgery,forged,genuine,4,0.008855,0.246925
family_a_000151_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,4,0.999989,0.246925
family_a_000152_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,4,0.999994,0.998257
family_a_000153_visual_splice,family_a,8752d9fbfcd88477,v1,visual_splice,forged,forged,4,0.999963,0.246925
family_a_000154_genuine,family_a,b14780eb0cb0e227,v2,genuine,genuine,genuine,1,0.00145,0.241102
family_a_000155_text_qr_mismatch,family_a,b14780eb0cb0e227,v2,text_qr_mismatch,forged,genuine,1,0.000801,0.949216
family_a_000156_qr_only_mismatch,family_a,b14780eb0cb0e227,v2,qr_only_mismatch,forged,genuine,1,0.000919,0.99201
family_a_000157_checksum_invalid,family_a,b14780eb0cb0e227,v2,checksum_invalid,forged,genuine,1,0.001367,0.998727
family_a_000158_format_invalid,family_a,b14780eb0cb0e227,v2,format_invalid,forged,genuine,1,0.000128,0.997282
family_a_000159_field_missing,family_a,b14780eb0cb0e227,v2,field_missing,forged,genuine,1,0.001098,0.98896
family_a_000160_fine_grained_edit,family_a,b14780eb0cb0e227,v2,fine_grained_edit,forged,genuine,1,0.001561,0.971828
family_a_000161_coordinated_full_forgery,family_a,b14780eb0cb0e227,v2,coordinated_full_forgery,forged,genuine,1,0.002759,0.241102
family_a_000162_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,1,0.998826,0.241102
family_a_000163_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,1,0.997022,0.99201
family_a_000164_visual_splice,family_a,b14780eb0cb0e227,v2,visual_splice,forged,forged,1,0.999704,0.982764
family_a_000165_genuine,family_a,a3f09aa40617dc39,v2,genuine,genuine,genuine,1,0.001716,0.241102
family_a_000166_text_qr_mismatch,family_a,a3f09aa40617dc39,v2,text_qr_mismatch,forged,genuine,1,0.000898,0.989609
family_a_000167_qr_only_mismatch,family_a,a3f09aa40617dc39,v2,qr_only_mismatch,forged,genuine,1,0.001653,0.99201
family_a_000168_checksum_invalid,family_a,a3f09aa40617dc39,v2,checksum_invalid,forged,genuine,1,0.000822,0.998727
family_a_000169_format_invalid,family_a,a3f09aa40617dc39,v2,format_invalid,forged,genuine,1,0.000129,0.999691
family_a_000170_field_missing,family_a,a3f09aa40617dc39,v2,field_missing,forged,genuine,1,9.5e-05,0.986946
family_a_000171_fine_grained_edit,family_a,a3f09aa40617dc39,v2,fine_grained_edit,forged,genuine,1,0.000772,0.989609
family_a_000172_coordinated_full_forgery,family_a,a3f09aa40617dc39,v2,coordinated_full_forgery,forged,genuine,1,0.003208,0.241102
family_a_000173_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,1,0.999725,0.989609
family_a_000174_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,1,0.999708,0.241102
family_a_000175_visual_splice,family_a,a3f09aa40617dc39,v2,visual_splice,forged,forged,1,0.998609,0.241102
family_a_000176_genuine,family_a,b50d80c3307ea365,v1,genuine,genuine,genuine,3,0.028058,0.246238
family_a_000177_text_qr_mismatch,family_a,b50d80c3307ea365,v1,text_qr_mismatch,forged,genuine,3,0.005052,0.974873
family_a_000178_qr_only_mismatch,family_a,b50d80c3307ea365,v1,qr_only_mismatch,forged,genuine,3,0.046955,0.939954
family_a_000179_checksum_invalid,family_a,b50d80c3307ea365,v1,checksum_invalid,forged,genuine,3,0.009582,0.98412
family_a_000180_format_invalid,family_a,b50d80c3307ea365,v1,format_invalid,forged,genuine,3,0.002368,0.992698
family_a_000181_field_missing,family_a,b50d80c3307ea365,v1,field_missing,forged,genuine,3,0.005455,0.85316
family_a_000182_fine_grained_edit,family_a,b50d80c3307ea365,v1,fine_grained_edit,forged,genuine,3,0.047851,0.872952
family_a_000183_coordinated_full_forgery,family_a,b50d80c3307ea365,v1,coordinated_full_forgery,forged,genuine,3,0.046225,0.246238
family_a_000184_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,3,0.999919,0.246238
family_a_000185_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,3,0.999809,0.246238
family_a_000186_visual_splice,family_a,b50d80c3307ea365,v1,visual_splice,forged,forged,3,0.999839,0.246238
family_a_000198_genuine,family_a,d48404bd5ded91ec,v1,genuine,genuine,genuine,0,0.002842,0.397579
family_a_000199_text_qr_mismatch,family_a,d48404bd5ded91ec,v1,text_qr_mismatch,forged,genuine,0,0.009817,0.397579
family_a_000200_qr_only_mismatch,family_a,d48404bd5ded91ec,v1,qr_only_mismatch,forged,genuine,0,0.002982,0.976678
family_a_000201_checksum_invalid,family_a,d48404bd5ded91ec,v1,checksum_invalid,forged,genuine,0,0.003177,0.959718
family_a_000202_format_invalid,family_a,d48404bd5ded91ec,v1,format_invalid,forged,genuine,0,0.000387,0.944199
family_a_000203_field_missing,family_a,d48404bd5ded91ec,v1,field_missing,forged,genuine,0,0.000971,0.99213
family_a_000204_fine_grained_edit,family_a,d48404bd5ded91ec,v1,fine_grained_edit,forged,genuine,0,0.008783,0.397579
family_a_000205_coordinated_full_forgery,family_a,d48404bd5ded91ec,v1,coordinated_full_forgery,forged,genuine,0,0.00695,0.242722
family_a_000206_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,0,0.999321,0.99213
family_a_000207_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,0,0.999418,0.397579
family_a_000208_visual_splice,family_a,d48404bd5ded91ec,v1,visual_splice,forged,forged,0,0.999324,0.397579
family_a_000242_genuine,family_a,c6c2e84243c492ad,v1,genuine,genuine,genuine,4,0.001421,0.246925
family_a_000243_text_qr_mismatch,family_a,c6c2e84243c492ad,v1,text_qr_mismatch,forged,genuine,4,0.003521,0.950717
family_a_000244_qr_only_mismatch,family_a,c6c2e84243c492ad,v1,qr_only_mismatch,forged,genuine,4,0.00046,0.998257
family_a_000245_checksum_invalid,family_a,c6c2e84243c492ad,v1,checksum_invalid,forged,genuine,4,0.00339,0.998483
family_a_000246_format_invalid,family_a,c6c2e84243c492ad,v1,format_invalid,forged,genuine,4,0.000102,0.99634
family_a_000247_field_missing,family_a,c6c2e84243c492ad,v1,field_missing,forged,genuine,4,0.003418,0.992097
family_a_000248_fine_grained_edit,family_a,c6c2e84243c492ad,v1,fine_grained_edit,forged,genuine,4,0.003858,0.892385
family_a_000249_coordinated_full_forgery,family_a,c6c2e84243c492ad,v1,coordinated_full_forgery,forged,genuine,4,0.278943,0.246925
family_a_000250_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,4,0.999642,0.246925
family_a_000251_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,4,0.000818,0.246925
family_a_000252_visual_splice,family_a,c6c2e84243c492ad,v1,visual_splice,forged,forged,4,0.999279,0.246925
family_a_000253_genuine,family_a,fe1f43994c8d068b,v2,genuine,genuine,genuine,3,0.007584,0.246238
family_a_000254_text_qr_mismatch,family_a,fe1f43994c8d068b,v2,text_qr_mismatch,forged,genuine,3,0.004083,0.998057
family_a_000255_qr_only_mismatch,family_a,fe1f43994c8d068b,v2,qr_only_mismatch,forged,genuine,3,0.006726,0.974873
family_a_000256_checksum_invalid,family_a,fe1f43994c8d068b,v2,checksum_invalid,forged,genuine,3,0.027909,0.98412
family_a_000257_format_invalid,family_a,fe1f43994c8d068b,v2,format_invalid,forged,genuine,3,0.002006,0.992698
family_a_000258_field_missing,family_a,fe1f43994c8d068b,v2,field_missing,forged,genuine,3,0.002126,0.983415
family_a_000259_fine_grained_edit,family_a,fe1f43994c8d068b,v2,fine_grained_edit,forged,genuine,3,0.00149,0.974873
family_a_000260_coordinated_full_forgery,family_a,fe1f43994c8d068b,v2,coordinated_full_forgery,forged,genuine,3,0.00885,0.246238
family_a_000261_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,3,0.0353,0.246238
family_a_000262_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,3,0.999916,0.998057
family_a_000263_visual_splice,family_a,fe1f43994c8d068b,v2,visual_splice,forged,forged,3,0.999922,0.246238
family_a_000264_genuine,family_a,a624989dfadd4b88,v1,genuine,genuine,genuine,3,0.437723,0.246238
family_a_000265_text_qr_mismatch,family_a,a624989dfadd4b88,v1,text_qr_mismatch,forged,genuine,3,0.231364,0.939954
family_a_000266_qr_only_mismatch,family_a,a624989dfadd4b88,v1,qr_only_mismatch,forged,genuine,3,0.20954,0.946566
family_a_000267_checksum_invalid,family_a,a624989dfadd4b88,v1,checksum_invalid,forged,genuine,3,0.185764,0.98412
family_a_000268_format_invalid,family_a,a624989dfadd4b88,v1,format_invalid,forged,genuine,3,0.018158,0.992698
family_a_000269_field_missing,family_a,a624989dfadd4b88,v1,field_missing,forged,genuine,3,0.04259,0.984334
family_a_000270_fine_grained_edit,family_a,a624989dfadd4b88,v1,fine_grained_edit,forged,genuine,3,0.296761,0.945148
family_a_000271_coordinated_full_forgery,family_a,a624989dfadd4b88,v1,coordinated_full_forgery,forged,genuine,3,0.002282,0.246238
family_a_000272_visual_splice,family_a,a624989dfadd4b88,v1,visual_splice,forged,forged,3,0.999976,0.246238
family_a_000273_visual_splice,family_a,a624989dfadd4b88,v1,visual_splice,forged,forged,3,0.999885,0.246238
family_a_000274_visual_splice,family_a,a624989dfadd4b88,v1,visual_splice,forged,forged,3,0.548561,0.246238
family_a_000275_genuine,family_a,62a08165a306a348,v2,genuine,genuine,genuine,2,0.007489,0.242012
family_a_000276_text_qr_mismatch,family_a,62a08165a306a348,v2,text_qr_mismatch,forged,genuine,2,0.009412,0.974183
family_a_000277_qr_only_mismatch,family_a,62a08165a306a348,v2,qr_only_mismatch,forged,genuine,2,0.005503,0.991268
family_a_000278_checksum_invalid,family_a,62a08165a306a348,v2,checksum_invalid,forged,genuine,2,0.005712,0.999296
family_a_000279_format_invalid,family_a,62a08165a306a348,v2,format_invalid,forged,genuine,2,0.002259,0.991887
family_a_000280_field_missing,family_a,62a08165a306a348,v2,field_missing,forged,genuine,2,0.00133,0.894278
family_a_000281_fine_grained_edit,family_a,62a08165a306a348,v2,fine_grained_edit,forged,genuine,2,0.001248,0.975808
family_a_000282_coordinated_full_forgery,family_a,62a08165a306a348,v2,coordinated_full_forgery,forged,genuine,2,0.020281,0.242012
family_a_000283_visual_splice,family_a,62a08165a306a348,v2,visual_splice,forged,forged,2,0.999825,0.983049
family_a_000284_visual_splice,family_a,62a08165a306a348,v2,visual_splice,forged,forged,2,0.999114,0.242012
family_a_000285_visual_splice,family_a,62a08165a306a348,v2,visual_splice,forged,forged,2,0.999985,0.242012
family_a_000286_genuine,family_a,3fac27e49a34cfc4,v2,genuine,genuine,genuine,0,0.153458,0.242722
family_a_000287_text_qr_mismatch,family_a,3fac27e49a34cfc4,v2,text_qr_mismatch,forged,genuine,0,0.103716,0.981938
family_a_000288_qr_only_mismatch,family_a,3fac27e49a34cfc4,v2,qr_only_mismatch,forged,genuine,0,0.081463,0.992376
family_a_000289_checksum_invalid,family_a,3fac27e49a34cfc4,v2,checksum_invalid,forged,genuine,0,0.156653,0.999344
family_a_000290_format_invalid,family_a,3fac27e49a34cfc4,v2,format_invalid,forged,genuine,0,0.042011,0.992944
family_a_000291_field_missing,family_a,3fac27e49a34cfc4,v2,field_missing,forged,genuine,0,0.040361,0.990255
family_a_000292_fine_grained_edit,family_a,3fac27e49a34cfc4,v2,fine_grained_edit,forged,genuine,0,0.137467,0.981938
family_a_000293_coordinated_full_forgery,family_a,3fac27e49a34cfc4,v2,coordinated_full_forgery,forged,genuine,0,0.010811,0.242722
family_a_000294_visual_splice,family_a,3fac27e49a34cfc4,v2,visual_splice,forged,forged,0,0.999938,0.992953
family_a_000295_visual_splice,family_a,3fac27e49a34cfc4,v2,visual_splice,forged,forged,0,0.999912,0.242722
family_a_000296_visual_splice,family_a,3fac27e49a34cfc4,v2,visual_splice,forged,forged,0,0.999978,0.242722
family_a_000297_genuine,family_a,b0c2ca5c2b4ea50e,v2,genuine,genuine,genuine,3,0.001385,0.246238
family_a_000298_text_qr_mismatch,family_a,b0c2ca5c2b4ea50e,v2,text_qr_mismatch,forged,genuine,3,0.001507,0.946566
family_a_000299_qr_only_mismatch,family_a,b0c2ca5c2b4ea50e,v2,qr_only_mismatch,forged,genuine,3,0.000414,0.946566
family_a_000300_checksum_invalid,family_a,b0c2ca5c2b4ea50e,v2,checksum_invalid,forged,genuine,3,0.00094,0.98412
family_a_000301_format_invalid,family_a,b0c2ca5c2b4ea50e,v2,format_invalid,forged,genuine,3,3.4e-05,0.992698
family_a_000302_field_missing,family_a,b0c2ca5c2b4ea50e,v2,field_missing,forged,genuine,3,0.000178,0.85316
family_a_000303_fine_grained_edit,family_a,b0c2ca5c2b4ea50e,v2,fine_grained_edit,forged,genuine,3,0.000175,0.974873
family_a_000304_coordinated_full_forgery,family_a,b0c2ca5c2b4ea50e,v2,coordinated_full_forgery,forged,genuine,3,0.142192,0.246238
family_a_000305_visual_splice,family_a,b0c2ca5c2b4ea50e,v2,visual_splice,forged,forged,3,0.999358,0.246238
family_a_000306_visual_splice,family_a,b0c2ca5c2b4ea50e,v2,visual_splice,forged,forged,3,0.996098,0.986975
family_a_000307_visual_splice,family_a,b0c2ca5c2b4ea50e,v2,visual_splice,forged,forged,3,0.996984,0.714239
family_a_000308_genuine,family_a,d2e8d6d2eff7770e,v1,genuine,genuine,genuine,2,0.750953,0.242012
family_a_000309_text_qr_mismatch,family_a,d2e8d6d2eff7770e,v1,text_qr_mismatch,forged,genuine,2,0.909005,0.982763
family_a_000310_qr_only_mismatch,family_a,d2e8d6d2eff7770e,v1,qr_only_mismatch,forged,genuine,2,0.741289,0.975808
family_a_000311_checksum_invalid,family_a,d2e8d6d2eff7770e,v1,checksum_invalid,forged,genuine,2,0.817788,0.999296
family_a_000312_format_invalid,family_a,d2e8d6d2eff7770e,v1,format_invalid,forged,genuine,2,0.116907,0.991887
family_a_000313_field_missing,family_a,d2e8d6d2eff7770e,v1,field_missing,forged,genuine,2,0.25652,0.988746
family_a_000314_fine_grained_edit,family_a,d2e8d6d2eff7770e,v1,fine_grained_edit,forged,genuine,2,0.852201,0.884103
family_a_000315_coordinated_full_forgery,family_a,d2e8d6d2eff7770e,v1,coordinated_full_forgery,forged,genuine,2,0.867622,0.242012
family_a_000316_visual_splice,family_a,d2e8d6d2eff7770e,v1,visual_splice,forged,forged,2,0.999935,0.242012
family_a_000317_visual_splice,family_a,d2e8d6d2eff7770e,v1,visual_splice,forged,forged,2,0.999979,0.242012
family_a_000318_visual_splice,family_a,d2e8d6d2eff7770e,v1,visual_splice,forged,forged,2,0.656441,0.242012
family_a_000319_genuine,family_a,fadde977322ea99f,v2,genuine,genuine,genuine,1,0.077266,0.241102
family_a_000320_text_qr_mismatch,family_a,fadde977322ea99f,v2,text_qr_mismatch,forged,genuine,1,0.107363,0.949216
family_a_000321_qr_only_mismatch,family_a,fadde977322ea99f,v2,qr_only_mismatch,forged,genuine,1,0.031444,0.99201
family_a_000322_checksum_invalid,family_a,fadde977322ea99f,v2,checksum_invalid,forged,genuine,1,0.261649,0.998727
family_a_000323_format_invalid,family_a,fadde977322ea99f,v2,format_invalid,forged,genuine,1,0.003319,0.997282
family_a_000324_field_missing,family_a,fadde977322ea99f,v2,field_missing,forged,genuine,1,0.003341,0.98896
family_a_000325_fine_grained_edit,family_a,fadde977322ea99f,v2,fine_grained_edit,forged,genuine,1,0.20571,0.971828
family_a_000326_coordinated_full_forgery,family_a,fadde977322ea99f,v2,coordinated_full_forgery,forged,genuine,1,0.049277,0.241102
family_a_000327_visual_splice,family_a,fadde977322ea99f,v2,visual_splice,forged,forged,1,0.256385,0.558196
family_a_000328_visual_splice,family_a,fadde977322ea99f,v2,visual_splice,forged,forged,1,0.999566,0.241102
family_a_000329_visual_splice,family_a,fadde977322ea99f,v2,visual_splice,forged,forged,1,0.999093,0.820898
family_a_000330_genuine,family_a,795d2a708b441373,v1,genuine,genuine,genuine,0,0.179338,0.335218
family_a_000331_text_qr_mismatch,family_a,795d2a708b441373,v1,text_qr_mismatch,forged,genuine,0,0.150121,0.976534
family_a_000332_qr_only_mismatch,family_a,795d2a708b441373,v1,qr_only_mismatch,forged,genuine,0,0.235712,0.397579
family_a_000333_checksum_invalid,family_a,795d2a708b441373,v1,checksum_invalid,forged,genuine,0,0.196196,0.996
family_a_000334_format_invalid,family_a,795d2a708b441373,v1,format_invalid,forged,genuine,0,0.00922,0.990808
family_a_000335_field_missing,family_a,795d2a708b441373,v1,field_missing,forged,genuine,0,0.004929,0.952289
family_a_000336_fine_grained_edit,family_a,795d2a708b441373,v1,fine_grained_edit,forged,genuine,0,0.321023,0.95043
family_a_000337_coordinated_full_forgery,family_a,795d2a708b441373,v1,coordinated_full_forgery,forged,genuine,0,0.798632,0.242722
family_a_000338_visual_splice,family_a,795d2a708b441373,v1,visual_splice,forged,forged,0,0.999915,0.335218
family_a_000339_visual_splice,family_a,795d2a708b441373,v1,visual_splice,forged,forged,0,0.999932,0.992376
family_a_000340_visual_splice,family_a,795d2a708b441373,v1,visual_splice,forged,forged,0,0.999974,0.335218
family_a_000341_genuine,family_a,d676c4d7809e4aff,v2,genuine,genuine,genuine,3,0.012022,0.246238
family_a_000342_text_qr_mismatch,family_a,d676c4d7809e4aff,v2,text_qr_mismatch,forged,genuine,3,0.01091,0.939954
family_a_000343_qr_only_mismatch,family_a,d676c4d7809e4aff,v2,qr_only_mismatch,forged,genuine,3,0.024098,0.974873
