id,record_id,split,tamper_type,final_label,qr_readable,text_qr_match_score,checksum_valid,format_valid,missing_field_count,ocr_field_presence_count,ocr_field_presence_rate,qr_field_count,ocr_qr_key_overlap_count,checksum_computed,document_family,field_similarity__0,field_similarity__1,field_similarity__2,field_similarity__3,field_similarity__4
family_a_000053_visual_splice,a616da14d1c99779,train,visual_splice,1,1.0,0.977,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8860759493670886
family_a_000054_visual_splice,a616da14d1c99779,train,visual_splice,1,1.0,0.997,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.987012987012987
family_a_000055_genuine,0e2e14708d5d3184,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000056_text_qr_mismatch,0e2e14708d5d3184,train,text_qr_mismatch,1,1.0,0.877,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.3846153846153846,1.0,1.0,1.0,1.0
family_a_000057_qr_only_mismatch,0e2e14708d5d3184,train,qr_only_mismatch,1,1.0,0.861,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3055555555555556
family_a_000058_checksum_invalid,0e2e14708d5d3184,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000059_format_invalid,0e2e14708d5d3184,train,format_invalid,1,1.0,0.983,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000060_field_missing,0e2e14708d5d3184,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000061_fine_grained_edit,0e2e14708d5d3184,train,fine_grained_edit,1,1.0,0.95,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0
family_a_000062_coordinated_full_forgery,0e2e14708d5d3184,train,coordinated_full_forgery,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000063_visual_splice,0e2e14708d5d3184,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000064_visual_splice,0e2e14708d5d3184,train,visual_splice,1,1.0,0.997,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9863013698630136
family_a_000065_visual_splice,0e2e14708d5d3184,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000066_genuine,47687617a01f11ae,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000067_text_qr_mismatch,47687617a01f11ae,train,text_qr_mismatch,1,1.0,0.863,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3125
family_a_000068_qr_only_mismatch,47687617a01f11ae,train,qr_only_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000069_checksum_invalid,47687617a01f11ae,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000070_format_invalid,47687617a01f11ae,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000071_field_missing,47687617a01f11ae,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0
family_a_000072_fine_grained_edit,47687617a01f11ae,train,fine_grained_edit,1,1.0,0.98,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.9,1.0,1.0,1.0
family_a_000073_coordinated_full_forgery,47687617a01f11ae,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000074_visual_splice,47687617a01f11ae,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000075_visual_splice,47687617a01f11ae,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000076_visual_splice,47687617a01f11ae,train,visual_splice,1,1.0,0.96,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0
family_a_000099_genuine,d265c69c7fa74149,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000100_text_qr_mismatch,d265c69c7fa74149,train,text_qr_mismatch,1,1.0,0.865,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.325
family_a_000101_qr_only_mismatch,d265c69c7fa74149,train,qr_only_mismatch,1,1.0,0.88,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0
family_a_000102_checksum_invalid,d265c69c7fa74149,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000103_format_invalid,d265c69c7fa74149,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000104_field_missing,d265c69c7fa74149,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,1.0,,1.0,1.0
family_a_000105_fine_grained_edit,d265c69c7fa74149,train,fine_grained_edit,1,1.0,0.967,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0
family_a_000106_coordinated_full_forgery,d265c69c7fa74149,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000107_visual_splice,d265c69c7fa74149,train,visual_splice,1,1.0,0.993,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9629629629629628
family_a_000108_visual_splice,d265c69c7fa74149,train,visual_splice,1,1.0,0.819,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0952380952380952
family_a_000109_visual_splice,d265c69c7fa74149,train,visual_splice,1,1.0,0.972,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8607594936708861
family_a_000132_genuine,8b8430a811fe64e8,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000133_text_qr_mismatch,8b8430a811fe64e8,train,text_qr_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000134_qr_only_mismatch,8b8430a811fe64e8,train,qr_only_mismatch,1,1.0,0.846,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.2307692307692307,1.0,1.0,1.0,1.0
family_a_000135_checksum_invalid,8b8430a811fe64e8,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000136_format_invalid,8b8430a811fe64e8,train,format_invalid,1,1.0,0.983,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000137_field_missing,8b8430a811fe64e8,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000138_fine_grained_edit,8b8430a811fe64e8,train,fine_grained_edit,1,1.0,0.983,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.9166666666666666,1.0,1.0,1.0,1.0
family_a_000139_coordinated_full_forgery,8b8430a811fe64e8,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000140_visual_splice,8b8430a811fe64e8,train,visual_splice,1,1.0,0.988,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9411764705882352
family_a_000141_visual_splice,8b8430a811fe64e8,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000142_visual_splice,8b8430a811fe64e8,train,visual_splice,1,1.0,0.992,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.96,1.0,1.0,1.0,1.0
family_a_000143_genuine,8752d9fbfcd88477,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000144_text_qr_mismatch,8752d9fbfcd88477,train,text_qr_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000145_qr_only_mismatch,8752d9fbfcd88477,train,qr_only_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0
family_a_000146_checksum_invalid,8752d9fbfcd88477,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000147_format_invalid,8752d9fbfcd88477,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000148_field_missing,8752d9fbfcd88477,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,
family_a_000149_fine_grained_edit,8752d9fbfcd88477,train,fine_grained_edit,1,1.0,0.986,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.9285714285714286,1.0,1.0,1.0,1.0
family_a_000150_coordinated_full_forgery,8752d9fbfcd88477,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000151_visual_splice,8752d9fbfcd88477,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000152_visual_splice,8752d9fbfcd88477,train,visual_splice,1,1.0,0.82,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1
family_a_000153_visual_splice,8752d9fbfcd88477,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000154_genuine,b14780eb0cb0e227,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000155_text_qr_mismatch,b14780eb0cb0e227,train,text_qr_mismatch,1,1.0,0.844,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.2222222222222222,1.0,1.0,1.0,1.0
family_a_000156_qr_only_mismatch,b14780eb0cb0e227,train,qr_only_mismatch,1,1.0,0.844,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2195121951219512
family_a_000157_checksum_invalid,b14780eb0cb0e227,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000158_format_invalid,b14780eb0cb0e227,train,format_invalid,1,1.0,0.983,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000159_field_missing,b14780eb0cb0e227,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,,1.0,1.0,1.0
family_a_000160_fine_grained_edit,b14780eb0cb0e227,train,fine_grained_edit,1,1.0,0.98,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.9,1.0,1.0,1.0
family_a_000161_coordinated_full_forgery,b14780eb0cb0e227,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000162_visual_splice,b14780eb0cb0e227,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000163_visual_splice,b14780eb0cb0e227,train,visual_splice,1,1.0,0.978,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8888888888888888
family_a_000164_visual_splice,b14780eb0cb0e227,train,visual_splice,1,1.0,0.967,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,0.8333333333333334,1.0,1.0,1.0
family_a_000165_genuine,a3f09aa40617dc39,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000166_text_qr_mismatch,a3f09aa40617dc39,train,text_qr_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000167_qr_only_mismatch,a3f09aa40617dc39,train,qr_only_mismatch,1,1.0,0.843,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2153846153846154
family_a_000168_checksum_invalid,a3f09aa40617dc39,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000169_format_invalid,a3f09aa40617dc39,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000170_field_missing,a3f09aa40617dc39,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,1.0,1.0,,1.0,1.0
family_a_000171_fine_grained_edit,a3f09aa40617dc39,train,fine_grained_edit,1,1.0,0.967,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0
family_a_000172_coordinated_full_forgery,a3f09aa40617dc39,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000173_visual_splice,a3f09aa40617dc39,train,visual_splice,1,1.0,0.8,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
family_a_000174_visual_splice,a3f09aa40617dc39,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000175_visual_splice,a3f09aa40617dc39,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000176_genuine,b50d80c3307ea365,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000177_text_qr_mismatch,b50d80c3307ea365,train,text_qr_mismatch,1,1.0,0.92,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0
family_a_000178_qr_only_mismatch,b50d80c3307ea365,train,qr_only_mismatch,1,1.0,0.887,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.4347826086956521,1.0,1.0,1.0,1.0
family_a_000179_checksum_invalid,b50d80c3307ea365,train,checksum_invalid,1,1.0,0.983,0.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0
family_a_000180_format_invalid,b50d80c3307ea365,train,format_invalid,1,1.0,0.967,1.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0
family_a_000181_field_missing,b50d80c3307ea365,train,field_missing,1,1.0,0.8,1.0,1.0,1.0,4.0,0.8,5.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0
family_a_000182_fine_grained_edit,b50d80c3307ea365,train,fine_grained_edit,1,1.0,0.983,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.9166666666666666,1.0,1.0,1.0,1.0
family_a_000183_coordinated_full_forgery,b50d80c3307ea365,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000184_visual_splice,b50d80c3307ea365,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000185_visual_splice,b50d80c3307ea365,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000186_visual_splice,b50d80c3307ea365,train,visual_splice,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000198_genuine,d48404bd5ded91ec,train,genuine,0,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000199_text_qr_mismatch,d48404bd5ded91ec,train,text_qr_mismatch,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000200_qr_only_mismatch,d48404bd5ded91ec,train,qr_only_mismatch,1,1.0,0.832,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.16,1.0,1.0,1.0,1.0
family_a_000201_checksum_invalid,d48404bd5ded91ec,train,checksum_invalid,1,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000202_format_invalid,d48404bd5ded91ec,train,format_invalid,1,0.0,,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000203_field_missing,d48404bd5ded91ec,train,field_missing,1,0.0,,1.0,1.0,1.0,4.0,0.8,0.0,0.0,1.0,0.0,,,,,
family_a_000204_fine_grained_edit,d48404bd5ded91ec,train,fine_grained_edit,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000205_coordinated_full_forgery,d48404bd5ded91ec,train,coordinated_full_forgery,1,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000206_visual_splice,d48404bd5ded91ec,train,visual_splice,1,0.0,,1.0,1.0,1.0,4.0,0.8,0.0,0.0,1.0,0.0,,,,,
family_a_000207_visual_splice,d48404bd5ded91ec,train,visual_splice,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000208_visual_splice,d48404bd5ded91ec,train,visual_splice,1,0.0,,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,,,,,
family_a_000242_genuine,c6c2e84243c492ad,train,genuine,0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
family_a_000243_text_qr_mismatch,c6c2e84243c492ad,train,text_qr_mismatch,1,1.0,0.87,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,0.3478260869565217,1.0,1.0,1.0,1.0
family_a_000244_qr_only_mismatch,c6c2e84243c492ad,train,qr_only_mismatch,1,1.0,0.874,1.0,1.0,0.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3692307692307692
